1336484.07601835 -434250.0 1020982.98323203
1651985.16880468 0.0 536762.519229284
1571131.25961464 510491.491616013 536762.519229284
1336484.07601835 971012.519229284 536762.519229284
971012.519229284 1336484.07601835 536762.519229284
510491.491616013 1571131.25961464 536762.519229284
1.01154917460778e-10 1651985.16880468 536762.519229284
-510491.491616013 1571131.25961464 536762.519229284
-971012.519229283 1336484.07601835 536762.519229284
-1336484.07601835 971012.519229284 536762.519229284
-1571131.25961464 510491.491616013 536762.519229284
-1651985.16880468 2.02309834921555e-10 536762.519229284
-1571131.25961464 -510491.491616012 536762.519229284
-1336484.07601835 -971012.519229283 536762.519229284
-971012.519229284 -1336484.07601835 536762.519229284
-510491.491616013 -1571131.25961464 536762.519229284
-3.03464752382333e-10 -1651985.16880468 536762.519229284
510491.491616013 -1571131.25961464 536762.519229284
971012.519229283 -1336484.07601835 536762.519229284
1336484.07601835 -971012.519229284 536762.519229284
1571131.25961464 -510491.491616013 536762.519229284
1737000.0 0.0 1.06360574505948e-10
1651985.16880468 536762.519229284 1.06360574505948e-10
1405262.51922928 1020982.98323203 1.06360574505948e-10
1020982.98323203 1405262.51922928 1.06360574505948e-10
536762.519229284 1651985.16880468 1.06360574505948e-10
1.06360574505948e-10 1737000.0 1.06360574505948e-10
-536762.519229284 1651985.16880468 1.06360574505948e-10
-1020982.98323203 1405262.51922928 1.06360574505948e-10
-1405262.51922928 1020982.98323203 1.06360574505948e-10
-1651985.16880468 536762.519229284 1.06360574505948e-10
-1737000.0 2.12721149011895e-10 1.06360574505948e-10
-1651985.16880468 -536762.519229283 1.06360574505948e-10
-1405262.51922928 -1020982.98323203 1.06360574505948e-10
-1020982.98323203 -1405262.51922928 1.06360574505948e-10
-536762.519229284 -1651985.16880468 1.06360574505948e-10
-3.19081723517843e-10 -1737000.0 1.06360574505948e-10
536762.519229283 -1651985.16880468 1.06360574505948e-10
1020982.98323203 -1405262.51922928 1.06360574505948e-10
1405262.51922928 -1020982.98323203 1.06360574505948e-10
1651985.16880468 -536762.519229284 1.06360574505948e-10
1651985.16880468 0.0 -536762.519229284
1571131.25961464 510491.491616013 -536762.519229284
1336484.07601835 971012.519229284 -536762.519229284
971012.519229284 1336484.07601835 -536762.519229284
510491.491616013 1571131.25961464 -536762.519229284
1.01154917460778e-10 1651985.16880468 -536762.519229284
-510491.491616013 1571131.25961464 -536762.519229284
-971012.519229284 1336484.07601835 -536762.519229284
-1336484.07601835 971012.519229284 -536762.519229284
-1571131.25961464 510491.491616013 -536762.519229284
-1651985.16880468 2.02309834921555e-10 -536762.519229284
-1571131.25961464 -510491.491616012 -536762.519229284
-1336484.07601835 -971012.519229284 -536762.519229284
-971012.519229284 -1336484.07601835 -536762.519229284
-510491.491616013 -1571131.25961464 -536762.519229284
-3.03464752382333e-10 -1651985.16880468 -536762.519229284
510491.491616013 -1571131.25961464 -536762.519229284
971012.519229283 -1336484.07601835 -536762.519229284
1336484.07601835 -971012.519229284 -536762.519229284
1571131.25961464 -510491.491616013 -536762.519229284
1405262.51922928 0.0 -1020982.98323203
1336484.07601835 434250.0 -1020982.98323203
1136881.25961464 825992.584402341 -1020982.98323203
825992.584402341 1136881.25961464 -1020982.98323203
434250.0 1336484.07601835 -1020982.98323203
8.60475123067944e-11 1405262.51922928 -1020982.98323203
-434250.0 1336484.07601835 -1020982.98323203
-825992.584402341 1136881.25961464 -1020982.98323203
-1136881.25961464 825992.584402341 -1020982.98323203
-1336484.07601835 434250.0 -1020982.98323203
-1405262.51922928 1.72095024613589e-10 -1020982.98323203
-1336484.07601835 -434249.999999999 -1020982.98323203
-1136881.25961464 -825992.584402341 -1020982.98323203
-825992.584402341 -1136881.25961464 -1020982.98323203
-434250.0 -1336484.07601835 -1020982.98323203
-2.58142536920383e-10 -1405262.51922928 -1020982.98323203
434250.0 -1336484.07601835 -1020982.98323203
825992.584402341 -1136881.25961464 -1020982.98323203
1136881.25961464 -825992.584402341 -1020982.98323203
1336484.07601835 -434250.0 -1020982.98323203
1020982.98323203 0.0 -1405262.51922928
971012.519229284 315501.092786328 -1405262.51922928
825992.584402341 600118.740385358 -1405262.51922928
600118.740385358 825992.584402341 -1405262.51922928
315501.092786328 971012.519229284 -1405262.51922928
6.25171771199508e-11 1020982.98323203 -1405262.51922928
-315501.092786328 971012.519229284 -1405262.51922928
-600118.740385358 825992.584402341 -1405262.51922928
-825992.584402341 600118.740385358 -1405262.51922928
-971012.519229284 315501.092786328 -1405262.51922928
-1020982.98323203 1.25034354239902e-10 -1405262.51922928
-971012.519229284 -315501.092786327 -1405262.51922928
-825992.584402341 -600118.740385358 -1405262.51922928
-600118.740385358 -825992.584402341 -1405262.51922928
-315501.092786328 -971012.519229284 -1405262.51922928
-1.87551531359852e-10 -1020982.98323203 -1405262.51922928
315501.092786328 -971012.519229284 -1405262.51922928
600118.740385358 -825992.584402341 -1405262.51922928
825992.584402341 -600118.740385359 -1405262.51922928
971012.519229284 -315501.092786328 -1405262.51922928
536762.519229284 0.0 -1651985.16880468
510491.491616013 165868.740385358 -1651985.16880468
434250.0 315501.092786328 -1651985.16880468
315501.092786328 434250.0 -1651985.16880468
165868.740385358 510491.491616013 -1651985.16880468
3.28672250538206e-11 536762.519229284 -1651985.16880468
-165868.740385358 510491.491616013 -1651985.16880468
-315501.092786328 434250.0 -1651985.16880468
-434250.0 315501.092786328 -1651985.16880468
-510491.491616013 165868.740385358 -1651985.16880468
-536762.519229284 6.57344501076412e-11 -1651985.16880468
-510491.491616013 -165868.740385358 -1651985.16880468
